launch_tag,launch_date,vehicle_name,provider,vehicle_country,engine_type,propellant_1,propellant_2,reusable_first_stage,launch_agency,lv_state,launch_site,launch_pad,location,launch_lat,launch_lon,platform,launch_success,flight_id,mission_name,payload_name,sat_owner,sat_state,mission_type,mission_description,orbit_class,orbit_name,perigee_km,apogee_km,inclination_deg,booster_serial,booster_flight_number,booster_reused,recovery_attempted,recovery_success,recovery_type,recovery_vessel,has_orbital_params,has_recovery_data,data_complete
1957 ALP,1957-10-04,Sputnik 8K71PS,,,,,,,MVS,SU,NIIP-5,LC1,,,,,True,M1-PS,1-y ISZ,PS-1,OKB1,SU,,,,,,,,,,,,,,,False,False,False
1957 BET,1957-11-03,Sputnik 8K71PS,,,,,,,MVS,SU,NIIP-5,LC1,,,,,True,M1-2PS,2-y ISZ,PS-2,OKB1,SU,,,,,,,,,,,,,,,False,False,False
1957-F01,1957-12-06,Vanguard,NRL,USA,GE-X-405,RP-1,LOX,False,NRL,US,CC,LC18A,"Cape Canaveral SFS, FL, USA",28.56194122,-80.57735736,,False,TV-3,Vanguard,Vanguard Test Satellite F,NRL,US,,,,,,,,,,,,,,,False,False,False
1958 ALP,1958-02-01,Jupiter C,NASA,USA,A-7,RP-1,LOX,False,ABMA,US,CC,LC26A,"Cape Canaveral SFS, FL, USA",28.56194122,-80.57735736,,True,RS-29    UE,Explorer I,Explorer 1,ABMA/JPLA,US,,,,,,,,,,,,,,,False,False,False
1958-F01,1958-02-05,Vanguard,NRL,USA,GE-X-405,RP-1,LOX,False,NRL,US,CC,LC18A,"Cape Canaveral SFS, FL, USA",28.56194122,-80.57735736,,False,TV-3BU,Vanguard,Vanguard Test Satellite G,NRL,US,,,,,,,,,,,,,,,False,False,False
1958-F02,1958-03-05,Jupiter C,NASA,USA,A-7,RP-1,LOX,False,ABMA,US,CC,LC26A,"Cape Canaveral SFS, FL, USA",28.56194122,-80.57735736,,False,RS/CC-26 UV,Explorer II,Explorer 2,ABMA/JPL,US,,,,,,,,,,,,,,,False,False,False
1958 BET,1958-03-17,Vanguard,NRL,USA,GE-X-405,RP-1,LOX,False,NRL,US,CC,LC18A,"Cape Canaveral SFS, FL, USA",28.56194122,-80.57735736,,True,TV-4,Vanguard I,Vanguard Test Satellite H,NRL,US,,,MEO,,653.0,3817.0,34.25,,,,,,,,True,False,False
1958 GAM,1958-03-26,Jupiter C,NASA,USA,A-7,RP-1,LOX,False,ABMA,US,CC,LC5,"Cape Canaveral SFS, FL, USA",28.56194122,-80.57735736,,True,RS-24    UT,Explorer III,Explorer 3,ABMA/JPLA,US,,,,,,,,,,,,,,,False,False,False
1958-F03,1958-04-27,Sputnik 8A91,,,,,,,MVS,SU,NIIP-5,LC1,,,,,False,B1-2,ISZ,D No. 1,NII88,SU,,,,,,,,,,,,,,,False,False,False
1958-F04,1958-04-29,Vanguard,NRL,USA,GE-X-405,RP-1,LOX,False,NRL,US,CC,LC18A,"Cape Canaveral SFS, FL, USA",28.56194122,-80.57735736,,False,TV-5,Vanguard,X-ray satellite,NRL,US,,,,,,,,,,,,,,,False,False,False
1958 DEL,1958-05-15,Sputnik 8A91,,,,,,,MVS,SU,NIIP-5,LC1,,,,,True,B1-1,3-y Sovetskiy ISZ,D No. 2,OKB1,SU,,,,,,,,,,,,,,,False,False,False
1958-F05,1958-05-28,Vanguard,NRL,USA,GE-X-405,RP-1,LOX,False,NRL,US,CC,LC18A,"Cape Canaveral SFS, FL, USA",28.56194122,-80.57735736,,False,SLV-1,Vanguard,Lyman Alpha satellite,NRL,US,,,,,,,,,,,,,,,False,False,False
1958-F06,1958-06-26,Vanguard,NRL,USA,GE-X-405,RP-1,LOX,False,NRL,US,CC,LC18A,"Cape Canaveral SFS, FL, USA",28.56194122,-80.57735736,,False,SLV-2,Vanguard,X-ray satellite,NRL,US,,,,,,,,,,,,,,,False,False,False
1958-F07,1958-07-25,NOTS EV1,,,,,,,NOTS,US,NOTS,RW03/21?,,,,F-4D-747,False,1,NOTS 1,Diagnostic Payload 1,NOTS,US,,,,,,,,,,,,,,,False,False,False
1958 EPS,1958-07-26,Jupiter C,NASA,USA,A-7,RP-1,LOX,False,ABMA,US,CC,LC5,"Cape Canaveral SFS, FL, USA",28.56194122,-80.57735736,,True,RS/CC-44 TT,Explorer IV,Explorer 4,ABMA/JPLA,US,,,,,,,,,,,,,,,False,False,False
1958-F08,1958-08-12,NOTS EV1,,,,,,,NOTS,US,NOTS,RW03/21?,,,,F-4D-747,False,2,NOTS 2,Diagnostic Payload 2,NOTS,US,,,,,,,,,,,,,,,False,False,False
1958-F09,1958-08-17,Thor Able I,USAF/NASA,USA,MB-3,RP-1,LOX,False,AFBMD,US,CC,LC17A,"Cape Canaveral SFS, FL, USA",28.56194122,-80.57735736,,False,127,Pioneer Lunar Probe,Able I,ARPA/AFBMD,US,,,,,,,,,,,,,,,False,False,False
1958-F10,1958-08-22,NOTS EV1,,,,,,,NOTS,US,NOTS,RW03/21?,,,,F-4D-747,False,3,NOTS 3,Diagnostic Payload 3,NOTS,US,,,,,,,,,,,,,,,False,False,False
1958-F11,1958-08-24,Jupiter C,NASA,USA,A-7,RP-1,LOX,False,ABMA,US,CC,LC5,"Cape Canaveral SFS, FL, USA",28.56194122,-80.57735736,,False,RS/CC-47 HN,Explorer V,Explorer 5,ABMA/JPL,US,,,,,,,,,,,,,,,False,False,False
1958-F12,1958-08-25,NOTS EV1,,,,,,,NOTS,US,NOTS,RW03/21?,,,,F-4D-747,False,4,NOTS 4,Radiation Payload 1,NOTS,US,,,,,,,,,,,,,,,False,False,False
1958-F13,1958-08-26,NOTS EV1,,,,,,,NOTS,US,NOTS,RW03/21?,,,,F-4D-747,False,5,NOTS 5,Radiation Payload 2,NOTS,US,,,,,,,,,,,,,,,False,False,False
1958-F14,1958-08-28,NOTS EV1,,,,,,,NOTS,US,NOTS,RW03/21?,,,,F-4D-747,False,6,NOTS 6,Radiation Payload 3,NOTS,US,,,,,,,,,,,,,,,False,False,False
1958-F15,1958-09-23,Vostok-L 8K72,Roscosmos,RUS,RD-107/108,RP-1,LOX,False,MVS,SU,NIIP-5,LC1,,,,,False,B1-3,AMS,E-1 No. 1,NII88,SU,,,,,,,,,,,,,,,False,False,False
1958-U01,1958-09-26,Vanguard,NRL,USA,GE-X-405,RP-1,LOX,False,NRL,US,CC,LC18A,"Cape Canaveral SFS, FL, USA",28.56194122,-80.57735736,,False,SLV-3,Vanguard,Cloud cover satellite,NRL,US,,,,,,,,,,,,,,,False,False,False
1958 ETA,1958-10-11,Thor Able I,USAF/NASA,USA,MB-3,RP-1,LOX,False,AFBMD,US,CC,LC17A,"Cape Canaveral SFS, FL, USA",28.56194122,-80.57735736,,True,130,Pioneer I,Able II,NASA/TRW,US,,,,,,,,,,,,,,,False,False,False
1958-F17,1958-10-11,Vostok-L 8K72,Roscosmos,RUS,RD-107/108,RP-1,LOX,False,MVS,SU,NIIP-5,LC1,,,,,False,B1-4,AMS,E-1 No. 2,NII88,SU,,,,,,,,,,,,,,,False,False,False
1958-F18,1958-10-23,Jupiter C,NASA,USA,A-7,RP-1,LOX,False,ABMA,US,CC,LC5,"Cape Canaveral SFS, FL, USA",28.56194122,-80.57735736,,False,RS/CC-49 HE,Beacon,12-foot sphere,LARCN,US,,,,,,,,,,,,,,,False,False,False
1958-F19,1958-11-08,Thor Able I,USAF/NASA,USA,MB-3,RP-1,LOX,False,AFBMD,US,CC,LC17A,"Cape Canaveral SFS, FL, USA",28.56194122,-80.57735736,,False,129,Pioneer II,Able III,NASAHQ/AFBMD,US,,,,,,,,,,,,,,,False,False,False
1958-F20,1958-12-04,Vostok-L 8K72,Roscosmos,RUS,RD-107/108,RP-1,LOX,False,MVS,SU,NIIP-5,LC1,,,,,False,B1-5,AMS,E-1 No. 3,NII88,SU,,,,,,,,,,,,,,,False,False,False
1958 THE,1958-12-06,Juno II,NASA,USA,A-7,RP-1,LOX,False,ABMA,US,CC,LC5,"Cape Canaveral SFS, FL, USA",28.56194122,-80.57735736,,True,AM-11,Pioneer III,Pioneer 3,ABMA,US,,,,,,,,,,,,,,,False,False,False
